1960,33.275
1961,40.468
1962,50.818
1963,51.408
1964,52.156
1965,52.912
1966,53.637
1967,54.351
1968,55.057
1969,55.738
1970,56.607
1971,57.565
1972,58.418
1973,59.389
1974,60.168
1975,60.917
1976,61.796
1977,62.538
1978,63.218
1979,63.865
1980,64.42
1981,64.975
1982,65.463
1983,65.904
1984,66.3
1985,66.643
1986,66.97
1987,67.288
1988,67.581
1989,67.838
1990,68.005
1991,68.169
1992,68.734
1993,69.216
1994,69.52
1995,70.008
1996,70.266
1997,70.672
1998,71.172
1999,71.419
2000,71.881
2001,72.606
2002,72.985
2003,73.371
2004,73.748
2005,74.111
2006,74.504
2007,74.762
2008,74.872
2009,75.343
2010,75.599
2011,75.903
2012,76.192
2013,76.452
2014,76.717
2015,76.977
2016,77.218
2017,77.248
2018,77.744
2019,77.968
2020,78.077
2021,78.211
2022,78.587
